iter	Passed	Remaining
0	1	100
1	1	90
2	2	85
3	3	78
4	4	77
5	4	77
6	6	81
7	7	81
8	7	79
9	8	78
10	9	76
11	10	75
12	11	73
13	11	72
14	12	71
15	13	69
16	14	68
17	14	67
18	15	66
19	16	65
20	17	64
21	18	64
22	18	63
23	20	63
24	20	62
25	21	62
26	22	61
27	23	60
28	24	60
29	25	59
30	26	58
31	27	57
32	28	57
33	28	56
34	29	55
35	30	54
36	31	53
37	32	52
38	33	52
39	34	51
40	36	51
41	36	50
42	37	49
43	38	48
44	39	47
45	39	46
46	40	45
47	41	44
48	42	44
49	43	43
50	43	42
51	44	41
52	45	40
53	46	39
54	47	38
55	47	37
56	48	36
57	49	35
58	50	35
59	51	34
60	52	33
61	53	32
62	54	31
63	54	30
64	55	30
65	56	29
66	57	28
67	58	27
68	58	26
69	59	25
70	60	24
71	61	23
72	62	22
73	63	22
74	63	21
75	65	20
76	66	19
77	67	18
78	67	18
79	68	17
80	69	16
81	70	15
82	70	14
83	71	13
84	72	12
85	73	11
86	74	11
87	74	10
88	75	9
89	76	8
90	77	7
91	78	6
92	78	5
93	80	5
94	81	4
95	81	3
96	82	2
97	83	1
98	84	0
99	84	0
