iter	Passed	Remaining
0	161	161713
1	163	81435
2	163	54389
3	164	40862
4	164	32748
5	164	27334
6	165	23475
7	165	20576
8	166	18320
9	166	16515
10	167	15083
11	168	13896
12	169	12860
13	170	11979
14	170	11212
15	171	10551
16	172	9960
17	172	9431
18	173	8949
19	173	8515
20	174	8123
21	174	7766
22	175	7441
23	175	7142
24	176	6867
25	176	6613
26	176	6378
27	177	6159
28	177	5955
29	178	5764
30	178	5586
31	179	5419
32	179	5263
33	180	5115
34	180	4976
35	180	4844
36	181	4720
37	181	4602
38	182	4490
39	182	4384
40	183	4283
41	183	4187
42	184	4102
43	185	4019
44	185	3938
45	186	3859
46	186	3784
47	187	3710
48	187	3640
49	188	3572
50	188	3507
51	188	3444
52	189	3384
53	189	3325
54	190	3269
55	190	3215
56	191	3162
57	191	3111
58	192	3062
59	192	3015
60	192	2969
61	193	2925
62	193	2882
63	194	2840
64	194	2799
65	195	2760
66	195	2722
67	195	2685
68	196	2649
69	196	2614
70	197	2580
71	197	2547
72	198	2515
73	198	2484
74	199	2455
75	199	2426
76	200	2400
77	200	2372
78	201	2345
79	201	2319
80	202	2293
81	202	2268
82	202	2241
83	203	2218
84	204	2197
85	204	2174
86	205	2152
87	205	2129
88	205	2108
89	206	2086
90	206	2066
91	207	2045
92	207	2025
93	208	2005
94	208	1986
95	208	1967
96	209	1949
97	209	1931
98	210	1913
99	210	1896
100	211	1879
101	211	1862
102	212	1846
103	212	1830
104	212	1814
105	213	1800
106	214	1787
107	214	1773
108	215	1759
109	215	1745
110	216	1731
111	216	1717
112	217	1704
113	217	1690
114	217	1677
115	218	1664
116	218	1650
117	219	1638
118	219	1625
119	220	1613
120	220	1601
121	220	1589
122	221	1577
123	221	1565
124	222	1554
125	222	1543
126	222	1532
127	223	1521
128	223	1510
129	224	1500
130	224	1489
131	225	1479
132	225	1469
133	225	1459
134	226	1450
135	226	1440
136	227	1431
137	227	1421
138	228	1412
139	228	1405
140	229	1397
141	229	1389
142	230	1381
143	230	1372
144	231	1364
145	231	1355
146	232	1347
147	232	1339
148	233	1331
149	233	1323
150	233	1315
151	234	1307
152	234	1299
153	235	1292
154	235	1284
155	236	1277
156	236	1269
157	236	1262
158	237	1255
159	237	1248
160	238	1240
161	238	1233
162	238	1227
163	239	1220
164	239	1213
165	240	1207
166	240	1200
167	241	1194
168	241	1187
169	242	1181
170	242	1175
171	243	1170
172	243	1165
173	244	1160
174	244	1154
175	245	1148
176	245	1142
177	246	1137
178	246	1131
179	247	1127
180	247	1121
181	248	1116
182	248	1110
183	249	1105
184	249	1099
185	250	1094
186	250	1089
187	250	1083
188	251	1078
189	251	1073
190	252	1068
191	252	1063
192	253	1058
193	253	1053
194	253	1048
195	254	1043
196	254	1038
197	255	1034
198	255	1029
199	256	1024
200	256	1019
201	257	1015
202	257	1010
203	257	1006
204	258	1003
205	259	1000
206	260	997
207	260	992
208	261	988
209	261	984
210	262	980
211	262	975
212	262	971
213	263	967
214	263	963
215	264	959
216	264	955
217	265	951
218	265	947
219	265	943
220	266	939
221	266	935
222	267	931
223	267	927
224	268	923
225	268	919
226	269	916
227	269	912
228	269	908
229	270	904
230	270	901
231	271	897
232	271	894
233	272	890
234	272	886
235	272	883
236	273	881
237	274	878
238	274	875
239	275	871
240	275	868
241	276	865
242	276	861
243	277	858
244	277	855
245	277	852
246	278	848
247	278	845
248	279	842
249	279	839
250	280	835
251	280	832
252	280	829
253	281	826
254	281	823
255	282	820
256	282	817
257	283	814
258	283	811
259	283	808
260	284	805
261	284	802
262	285	799
263	285	796
264	286	793
265	286	790
266	286	787
267	287	785
268	287	782
269	288	780
270	289	777
271	289	775
272	290	773
273	290	770
274	291	767
275	291	765
276	292	762
277	292	759
278	292	757
279	293	754
280	293	751
281	294	749
282	294	746
283	295	744
284	295	741
285	296	739
286	296	736
287	296	733
288	297	731
289	297	728
290	298	726
291	298	723
292	299	721
293	299	719
294	299	716
295	300	714
296	300	711
297	301	709
298	301	707
299	302	704
300	302	702
301	303	700
302	303	698
303	304	696
304	304	694
305	305	692
306	305	690
307	306	688
308	306	686
309	307	683
310	307	681
311	308	679
312	308	677
313	308	675
314	309	672
315	309	670
316	310	668
317	310	666
318	311	664
319	311	662
320	312	660
321	312	657
322	312	655
323	313	653
324	313	651
325	314	649
326	314	647
327	315	645
328	315	643
329	315	641
330	316	639
331	316	637
332	317	635
333	317	633
334	318	632
335	319	630
336	319	628
337	320	627
338	320	625
